time;face_valid;mean;min;max
8300;1;48;48;48
9300;1;79.2384;47.6758;132
10300;1;93.1847;83.4327;132
11300;1;70.8859;47.6758;96
12300;1;54.1603;47.6758;72
13300;1;47.787;47.6758;48
14300;1;47.787;47.6758;48
15300;1;58.1391;47.6758;60
16300;1;60.1311;59.5948;71.5137
17300;1;70.0858;47.6853;72
18300;1;90.0008;47.6758;96
19300;1;87.2113;83.4327;96
20300;1;83.6273;83.4327;84
21300;1;83.6273;83.4327;84
22300;1;83.6273;83.4327;84
23300;1;83.6273;83.4327;84
24300;1;53.7632;47.6758;84
25300;1;60.1259;35.7569;84
26300;1;63.7338;59.5948;84
27300;1;59.7338;59.5948;60
28300;1;76.4646;59.5948;96
29300;1;71.6805;71.5137;72
30300;1;69.2886;59.5948;72
31300;1;60.5285;59.5948;71.5279
32300;1;60.1312;59.5948;71.5279
33300;1;69.2912;59.5948;72
34300;1;58.5391;47.6758;84
35300;1;62.1231;35.7569;84
36300;1;59.7338;59.5948;60
37300;1;59.7338;59.5948;60
38300;1;59.7338;59.5948;60
39300;1;59.7338;59.5948;60
40300;1;59.7338;59.5948;60
41300;1;54.9551;47.6758;60
42300;1;48.5816;47.6758;71.5137
48300;1;58.9301;47.6758;84
49300;1;59.7207;59.5948;60
50300;1;81.638;35.764;96
51300;1;59.7338;59.5948;60
58500;1;56.336;35.7569;72
59500;1;71.6648;71.5137;72
60500;1;86.8085;59.5948;108
61500;1;59.7338;59.5948;60
62500;1;54.9443;47.6758;95.3706
